HI_WM,LO_WM,ROW_IDLE,EDP_c1c2,EDP_blfr,EDP_avg
24,8,16,0.539580345,0.249480426,0.39453
24,8,24,0.539569914,0.249735534,0.394653
24,8,32,0.539389729,0.250015199,0.394702
24,8,40,0.539199471,0.250361204,0.39478
24,8,48,0.539244413,0.250141591,0.394693
24,8,64,0.538561821,0.246857628,0.39271
24,12,16,0.537903070,0.247099519,0.392501
24,12,24,0.538217545,0.247442544,0.39283
24,12,32,0.538059056,0.247644022,0.392852
24,12,40,0.537521303,0.247240931,0.392381
24,12,48,0.537618995,0.247815490,0.392717
24,12,64,0.536987782,0.244478405,0.390733
24,16,16,0.543085814,0.245982349,0.394534
24,16,24,0.542661607,0.246576801,0.394619
24,16,32,0.542681158,0.246550992,0.394616
24,16,40,0.542430460,0.246744305,0.394587
24,16,48,0.541962802,0.246900469,0.394432
24,16,64,0.541447818,0.243980721,0.392714
24,20,16,0.555519640,0.247900248,0.40171
24,20,24,0.555298150,0.247860089,0.401579
24,20,32,0.555077612,0.248110726,0.401594
24,20,40,0.555037677,0.248279110,0.401658
24,20,48,0.554965675,0.248093545,0.40153
24,20,64,0.554007173,0.245487124,0.399747
32,8,16,0.537016451,0.247977659,0.392497
32,8,24,0.536464036,0.248249143,0.392357
32,8,32,0.536603451,0.248285085,0.392444
32,8,40,0.536721647,0.248676211,0.392699
32,8,48,0.536501169,0.248887107,0.392694
32,8,64,0.536981344,0.245342121,0.391162
32,12,16,0.533192635,0.245128930,0.389161
32,12,24,0.532867014,0.245261997,0.389065
32,12,32,0.532935262,0.245729193,0.389332
32,12,40,0.532905579,0.245807946,0.389357
32,12,48,0.532707989,0.245818719,0.389263
32,12,64,0.532259226,0.242677584,0.387468
32,16,16,0.532837749,0.243507504,0.388173
32,16,24,0.532805562,0.243492216,0.388149
32,16,32,0.532909036,0.243770823,0.38834
32,16,40,0.532855034,0.243986949,0.388421
32,16,48,0.532346308,0.244004607,0.388175
32,16,64,0.532334208,0.240781412,0.386558
32,20,16,0.534891605,0.242628515,0.38876
32,20,24,0.534654558,0.242729366,0.388692
32,20,32,0.534622073,0.243031815,0.388827
32,20,40,0.534359872,0.243172809,0.388766
32,20,48,0.534119248,0.242973432,0.388546
32,20,64,0.533414602,0.240299419,0.386857
32,24,16,0.541323245,0.242846638,0.392085
32,24,24,0.540888429,0.243009374,0.391949
32,24,32,0.540981948,0.243002579,0.391992
32,24,40,0.540144920,0.243363902,0.391754
32,24,48,0.540843010,0.243168786,0.392006
32,24,64,0.539504290,0.240080535,0.389792
32,28,16,0.552510262,0.244797200,0.398654
32,28,24,0.552332699,0.244743749,0.398538
32,28,32,0.552649260,0.244969025,0.398809
32,28,40,0.551672220,0.245302901,0.398488
32,28,48,0.551335752,0.245089412,0.398213
32,28,64,0.551204801,0.242178917,0.396692
40,8,16,0.535666883,0.246910349,0.391289
40,8,24,0.536156654,0.247281462,0.391719
40,8,32,0.535855174,0.247477949,0.391667
40,8,40,0.536240935,0.247519732,0.39188
40,8,48,0.535067737,0.247197717,0.391133
40,8,64,0.535742521,0.244416267,0.390079
40,12,16,0.531761944,0.244323179,0.388043
40,12,24,0.531620383,0.244378731,0.388
40,12,32,0.531044483,0.244625613,0.387835
40,12,40,0.530925989,0.244754821,0.38784
40,12,48,0.531279027,0.244869664,0.388074
40,12,64,0.530539870,0.241668373,0.386104
40,16,16,0.530495763,0.242343098,0.386419
40,16,24,0.530175507,0.242437944,0.386307
40,16,32,0.530651629,0.242311239,0.386481
40,16,40,0.530363500,0.242628127,0.386496
40,16,48,0.529877424,0.242784053,0.386331
40,16,64,0.529382825,0.239781603,0.384582
40,20,16,0.530362189,0.241109461,0.385736
40,20,24,0.530043721,0.241196573,0.38562
40,20,32,0.529832959,0.241482586,0.385658
40,20,40,0.529525280,0.241324365,0.385425
40,20,48,0.529563010,0.241358191,0.385461
40,20,64,0.528753102,0.238409624,0.383581
40,24,16,0.531262219,0.240333587,0.385798
40,24,24,0.531265020,0.240273818,0.385769
40,24,32,0.531282663,0.240490824,0.385887
40,24,40,0.530830204,0.240608737,0.385719
40,24,48,0.530487239,0.240440890,0.385464
40,24,64,0.529345810,0.237551391,0.383449
40,28,16,0.533180773,0.239891186,0.386536
40,28,24,0.533134401,0.239960551,0.386547
40,28,32,0.532769918,0.240021750,0.386396
40,28,40,0.532680333,0.240137860,0.386409
40,28,48,0.532388389,0.240158737,0.386274
40,28,64,0.531727672,0.237185746,0.384457
40,32,16,0.539402127,0.240339711,0.389871
40,32,24,0.539768636,0.240471661,0.39012
40,32,32,0.539404690,0.240398884,0.389902
40,32,40,0.538781226,0.240404397,0.389593
40,32,48,0.538109243,0.240627214,0.389368
40,32,64,0.537701190,0.237857312,0.387779
48,8,16,0.535529733,0.246120542,0.390825
48,8,24,0.535867155,0.246641770,0.391254
48,8,32,0.535503745,0.246847600,0.391176
48,8,40,0.535355031,0.246929526,0.391142
48,8,48,0.535202026,0.247008920,0.391105
48,8,64,0.535163939,0.243725851,0.389445
48,12,16,0.530614376,0.243566379,0.38709
48,12,24,0.530616820,0.243827134,0.387222
48,12,32,0.530594707,0.243923277,0.387259
48,12,40,0.530486345,0.244099617,0.387293
48,12,48,0.530050814,0.244042337,0.387047
48,12,64,0.529937863,0.241037697,0.385488
48,16,16,0.529576063,0.241476864,0.385526
48,16,24,0.529434264,0.241834536,0.385634
48,16,32,0.528709590,0.241867512,0.385289
48,16,40,0.528820872,0.242189243,0.385505
48,16,48,0.528918028,0.242224008,0.385571
48,16,64,0.528015494,0.239054054,0.383535
48,20,16,0.528456271,0.239916220,0.384186
48,20,24,0.528435826,0.240265071,0.38435
48,20,32,0.528512239,0.240545839,0.384529
48,20,40,0.527886927,0.240441188,0.384164
48,20,48,0.527998865,0.240335867,0.384167
48,20,64,0.527560055,0.237630263,0.382595
48,24,16,0.528629839,0.239092335,0.383861
48,24,24,0.528650641,0.239178523,0.383915
48,24,32,0.528453827,0.239602685,0.384028
48,24,40,0.527963877,0.239510849,0.383737
48,24,48,0.527662814,0.239273667,0.383468
48,24,64,0.527230382,0.236447468,0.381839
48,28,16,0.529212296,0.238473386,0.383843
48,28,24,0.529168069,0.238439143,0.383804
48,28,32,0.528846383,0.238482893,0.383665
48,28,40,0.528417528,0.238609582,0.383514
48,28,48,0.528489113,0.238375410,0.383432
48,28,64,0.527590990,0.235685214,0.381638
48,32,16,0.529899895,0.237997800,0.383949
48,32,24,0.530078828,0.237993866,0.384036
48,32,32,0.529689431,0.237946630,0.383818
48,32,40,0.529525995,0.238011286,0.383769
48,32,48,0.529278576,0.237869993,0.383574
48,32,64,0.528306544,0.235269442,0.381788
56,8,16,0.535305321,0.246079400,0.390692
56,8,24,0.534684181,0.246149421,0.390417
56,8,32,0.535035908,0.246103406,0.39057
56,8,40,0.535286129,0.246304393,0.390795
56,8,48,0.535333157,0.246554151,0.390944
56,8,64,0.535068095,0.243295059,0.389182
56,12,16,0.530244291,0.243348107,0.386796
56,12,24,0.530182958,0.243137777,0.38666
56,12,32,0.530260682,0.243471861,0.386866
56,12,40,0.529985011,0.243567750,0.386776
56,12,48,0.530067444,0.243406817,0.386737
56,12,64,0.529277205,0.240565598,0.384921
56,16,16,0.528805912,0.240949452,0.384878
56,16,24,0.528477609,0.241287187,0.384882
56,16,32,0.528332829,0.241103441,0.384718
56,16,40,0.528389812,0.241449073,0.384919
56,16,48,0.528429389,0.241439626,0.384935
56,16,64,0.527508736,0.238566056,0.383037
56,20,16,0.527735054,0.239692166,0.383714
56,20,24,0.527994037,0.239723280,0.383859
56,20,32,0.527509809,0.239990398,0.38375
56,20,40,0.527463138,0.240110621,0.383787
56,20,48,0.527082920,0.239850044,0.383466
56,20,64,0.526662946,0.236938536,0.381801
56,24,16,0.527623713,0.238647193,0.383135
56,24,24,0.527522266,0.238837078,0.38318
56,24,32,0.527381063,0.238436386,0.382909
56,24,40,0.527148902,0.238809526,0.382979
56,24,48,0.527224720,0.238736331,0.382981
56,24,64,0.525688589,0.235931218,0.38081
56,28,16,0.527825713,0.237869442,0.382848
56,28,24,0.527434289,0.237614796,0.382525
56,28,32,0.527263939,0.237946570,0.382605
56,28,40,0.527264535,0.237939864,0.382602
56,28,48,0.526980698,0.237680048,0.38233
56,28,64,0.525780797,0.234921187,0.380351
56,32,16,0.527702093,0.237034306,0.382368
56,32,24,0.527459800,0.236716717,0.382088
56,32,32,0.527424216,0.237216175,0.38232
56,32,40,0.526997924,0.237171829,0.382085
56,32,48,0.527284384,0.237199441,0.382242
56,32,64,0.526021540,0.234177709,0.3801
